yutu	Q137763949
yupekosi	Q137763948
wuwojiti	Q137763947
wowujiti	Q137763946
wiwi	Q137763945
wikipesija	Q137763944
wiki	Q137763943
wiju	Q137763942
wi	Q137763941
wen	Q137763940
weko	Q137763939
wekama	Q137763938
we	Q137763936
wawajete	Q137763934
wasoweli	Q137763933
waleja	Q137763932
waken	Q137763931
wakalito	Q137763930
waje	Q137763929
wa	Q137763928
vriska	Q137763927
votgil	Q137763926
vivi	Q137763925
usawi	Q137763923
unu	Q137763921
unikijetesantakalu	Q137763919
umesu	Q137763918
uka	Q137763917
tuwa	Q137763916
towan	Q137763915
topo	Q137763913
tonyu	Q137763912
tonpite	Q137763911
tona	Q137763910
toma	Q137763909
token	Q137763907
tokana	Q137763906
to	Q137763905
tensi	Q137763904
tenpi	Q137763903
ten	Q137763902
temi	Q137763901
teken	Q137763900
te	Q137763899
tawake	Q137763898
tasun	Q137763897
taki	Q137763896
ta	Q137763894
sunta	Q137763893
sulaso	Q137763892
suke	Q137763891
stella	Q137763890
sowoli	Q137763889
soni	Q137763888
sokeli	Q137763887
snoweli	Q137763886
slape	Q137763885
siwan	Q137763884
siwala	Q137763882
sisi	Q137763880
sisa	Q137763879
sipije	Q137763878
sipi	Q137763877
silapa	Q137763875
silani	Q137763874
sikomo	Q137763873
sikako	Q137763872
sijesuwa	Q137763871
sijala	Q137763870
siilapa	Q137763868
siiilapa	Q137763867
seki	Q137763866
seka	Q137763865
satun	Q137763864
sapelipope	Q137763863
santa	Q137763862
samu	Q137763861
samin	Q137763860
salantapotalusa	Q137763859
saja	Q137763857
puwa	Q137763856
pulaso	Q137763855
pula	Q137763854
poni	Q137763853
pomotolo	Q137763852
poman	Q137763851
polinpin	Q137763850
pipolo	Q137763849
pipo	Q137763848
pingo	Q137763847
pika	Q137763846
peto	Q137763845
pensa	Q137763844
penpo	Q137763843
pe	Q137763842
pasila	Q137763841
panpan	Q137763839
panke	Q137763838
pami	Q137763837
palensi	Q137763835
pakola	Q137763834
paka	Q137763833
pa	Q137763832
owe	Q137763831
opasan	Q137763830
opa	Q137763829
onono	Q137763827
oni	Q137763826
omen	Q137763825
omekapo	Q137763824
omekalike	Q137763823
olala	Q137763822
oki	Q137763821
okepuma	Q137763820
oke	Q137763819
ojuta	Q137763818
nuwa	Q137763816
nutan	Q137763815
nusun	Q137763814
nu	Q137763813
nowi	Q137763812
nlsn	Q137763811
nito	Q137763810
nili	Q137763809
niko	Q137763808
nele	Q137763807
neja	Q137763806
natu	Q137763805
nata	Q137763804
nasulin	Q137763803
nano	Q137763802
nan	Q137763801
nalasuni	Q137763799
nalanja	Q137763798
motan	Q137763797
mono	Q137763796
molusa	Q137763795
misa	Q137763794
mimuki	Q137763793
mila	Q137763792
miko	Q137763791
mijomi	Q137763790
melinjakulekule	Q137763788
mekuwi	Q137763787
medium	Q137763786
me	Q137763785
matula	Q137763784
masu	Q137763783
masenta	Q137763782
masalo	Q137763781
manka	Q137763780
mamasina	Q137763779
mamasi	Q137763778
mako	Q137763777
maki	Q137763776
majeka	Q137763775
luna	Q137763774
luke	Q137763773
lu	Q137763771
losupan	Q137763770
lokoso	Q137763769
lokon	Q137763768
loka	Q137763767
lo	Q137763766
lisana	Q137763765
lipamanka	Q137763764
linuwi	Q137763763
linku	Q137763761
likujo	Q137763760
lijokuku	Q137763759
lepeka	Q137763758
lenlen	Q137763757
lato	Q137763756
lansan	Q137763755
lan	Q137763753
kuntu	Q137763752
kulu	Q137763751
kulijo	Q137763750
kulepiku	Q137763749
kosikosa	Q137763748
kosan	Q137763747
konwe	Q137763746
konsi	Q137763745
koni	Q137763744
kolo	Q137763742
kolisin	Q137763741
koko	Q137763740
kitu	Q137763739
kita	Q137763738
kinute	Q137763737
kikulo	Q137763736
kikolo	Q137763735
kiki	Q137763734
kijosin	Q137763733
kijete	Q137763732
kijesankalu	Q137763731
kije	Q137763730
kijan	Q137763729
ki	Q137763728
kewe	Q137763727
keTami	Q137763726
kese	Q137763725
kepi	Q137763724
kepen	Q137763723
kepa	Q137763722
kemu	Q137763720
kelo	Q137763719
keli	Q137763718
kekantesantakalu	Q137763717
kekanSan	Q137763716
ke	Q137763715
kapilu	Q137763714
kapesi	Q137763713
kapa	Q137763711
kankuli	Q137763710
kani	Q137763709
kana	Q137763708
kan	Q137763707
kamalawala	Q137763706
kalu	Q137763705
kalijopilale	Q137763704
kalamARR	Q137763702
kaken	Q137763701
jusijesuwa	Q137763700
juniko	Q137763699
jume	Q137763698
jules	Q137763697
jule	Q137763696
ju	Q137763695
jonatan	Q137763694
jew	Q137763693
jesi	Q137763692
je	Q137763691
jasun	Q137763689
jans	Q137763688
jami	Q137763687
jalepu	Q137763686
jalan	Q137763685
ja	Q137763684
itomi	Q137763683
isipin	Q137763681
iseki	Q137763680
iseja	Q137763679
ipi	Q137763678
ipawi	Q137763677
ipan	Q137763676
inta	Q137763675
ilapa	Q137763674
ilaje	Q137763673
iki	Q137763672
hD	Q137763671
fairfax	Q137763670
epikule	Q137763669
enko	Q137763668
eni	Q137763667
eki	Q137763666
awase	Q137763665
atu	Q137763664
asuto	Q137763663
asuki	Q137763662
asu	Q137763661
asiku	Q137763660
api	Q137763659
apelo	Q137763658
antikontitutonelema	Q137763657
antepan	Q137763656
anta	Q137763655
ansu	Q137763654
ani	Q137763653
ana	Q137763652
amelin	Q137763650
amanka	Q137763649
alu	Q137763648
alisa	Q137763647
alente	Q137763646
aku	Q137763645
ako	Q137763644
aka	Q137763642
aja	Q137763641
aasun	Q137763640
aAANUSEMEmailMahjong	Q137763639
toki pona rare words	Q137763638
toki Pona Logograms unsorted by word	Q137763637
sitelen Pona ligatures	Q137763636
wawa tenpo	Q137763634
wan tu	Q137763632
wan luka	Q137763631
walo pimeja	Q137763629
walo loje	Q137763627
walo laso	Q137763626
walo jelo	Q137763625
tu luka	Q137763623
tonsi wawa	Q137763622
tonsi unpa	Q137763620
tonsi sin	Q137763619
tonsi sama	Q137763618
tonsi pona	Q137763617
tonsi lili	Q137763615
tonsi ike	Q137763614
tomo unpa	Q137763613
tomo telo	Q137763612
tomo pali	Q137763611
